annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
06-2018,Automatique,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Citroën C4,Diesel,61 832 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2813335_1.JPG,19 470 €,Spacetourer BlueHDi 120 S&S EAT6 Shine
07-2019,Automatique,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,DS 3,Essence,60 911 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-3-2813333_1.JPG,22 770 €,Crossback PureTech 130 S&S EAT8 Business
04-2017,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 2008,Essence,81 023 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813332_1.JPG,12 490 €,1.2 PureTech 110ch S&S BVM5 Allure
06-2018,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Citroën C3,Essence,16 218 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813327_1.JPG,11 790 €,PureTech 68 Feel
02-2020,Automatique,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Citroën C3,Essence,26 792 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813323_1.JPG,16 970 €,PureTech 110 S&S EAT6 Shine
10-2021,Manuelle,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Citroën C3,Diesel,28 871 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813325_1.JPG,17 470 €,BlueHDi 100 S&S BVM6 Shine Pack
06-2020,Automatique,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Citroën C5 Aircross,Diesel,82 337 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813319_1.JPG,23 470 €,BlueHDi 130 S&S EAT8 SHINE
12-2020,Manuelle,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Peugeot 108,Essence,6 737 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-108-2813315_1.JPG,10 970 €,VTi 72ch S&S BVM5 Active
07-2018,Manuelle,SPOTICAR STELLANTIS &YOU LOMME,Citroën C1,Essence,32 706 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C1-2813299_1.JPG,10 790 €,VTi 72 Feel
05-2019,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 2008,Essence,39 102 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813318_1.JPG,13 990 €,PureTech 82ch S&S BVM5 Signature
